timestamp,temp,humi,vib_x,vib_y,vib_z
0,0.0,0.0,0,0,0
6310897,27.11,34.91,-8732,-2880,13592
6311898,27.1,34.86,-8780,-2940,13748
6312900,27.11,34.77,-8812,-2964,13624
6313901,27.11,34.71,-8776,-2936,13696
6315046,27.13,34.58,-8760,-2972,13536
6316047,27.12,34.54,-8772,-2960,13596
6317049,27.14,34.48,-8840,-2936,13680
6318051,27.13,34.44,-8764,-2812,13712
6319052,27.14,34.33,-8852,-2980,13812
6320054,27.15,34.4,-8788,-2940,13584
6321055,27.14,34.39,-8384,-3052,13752
6322057,27.15,34.43,-8868,-2988,13608
6323058,27.18,34.69,-8716,-2952,13568
6324060,27.17,34.62,-8784,-2948,13564
6325061,27.15,34.75,-8772,-2984,13644
6326063,27.17,34.71,-8860,-2972,13628
6327065,27.15,34.53,-8748,-2876,13632
6328066,27.16,34.59,-8884,-2844,13608
6329068,27.16,34.61,-8792,-2912,13584
6330069,27.16,34.51,-8828,-2920,13600
6331071,27.15,34.45,-8804,-2936,13552
6332072,27.16,34.38,-8832,-3008,13588
6333074,27.16,34.26,-8836,-2924,13628
6334075,27.15,34.24,-8820,-2880,13612
6335220,27.16,34.08,-8804,-2888,13588
6336222,27.14,34.04,-8800,-2900,13620
6337223,27.17,34.05,-8812,-2948,13532
6338225,27.15,34.09,-8824,-2944,13672
6339226,27.15,34.19,-8808,-2884,13680
6340228,27.15,34.27,-8896,-2948,13664
6341229,27.16,34.36,-8788,-2932,13576
6342231,27.15,34.3,-8776,-2908,13620
6343232,27.16,34.43,-8808,-2932,13664
6344234,27.16,34.51,-8748,-2924,13672
6345236,27.14,34.59,-8864,-2996,13584
6346237,27.15,34.54,-8776,-2828,13696
6347239,27.14,34.54,-8844,-3008,13584
6348241,27.16,34.35,-8792,-2924,13596
6349242,27.15,34.54,-8848,-2920,13624
6350244,27.17,34.59,-8820,-2884,13524
6351246,27.16,34.52,-8808,-2924,13572
6352247,27.15,34.6,-8800,-2880,13664
6353248,27.14,34.54,-8848,-2904,13624
6354250,27.15,34.47,-8760,-2956,13572
6355252,27.15,34.42,-8872,-3012,13588
6356253,27.15,34.29,-8868,-2996,13664
6357398,27.15,34.31,-8772,-2900,13604
6358399,27.16,34.26,-8120,-3248,13772
6359401,27.14,34.19,-8724,-2912,13672
4116683,26.84,40.5,-884,-2312,16332
4117684,26.89,40.42,-856,-2280,16324
4118686,26.89,40.32,-968,-2272,16384
0,0.0,0.0,0,0,0
9742823,27.92,40.2,-640,-748,16476
9743824,27.95,40.14,-640,-780,16536
9744826,27.97,40.16,-596,-744,16404
9745827,27.97,40.24,-648,-768,16428
9746829,27.96,40.11,-568,-732,16484
9747973,27.98,40.3,-648,-764,16324
9748974,27.97,40.3,-580,-720,16380
9749976,27.98,40.2,-592,-708,16392
9750977,27.99,40.09,-656,-724,16404
9751979,27.99,40.01,-632,-740,16608
9752980,28.01,39.93,-572,-720,16596
9753982,28.0,40.07,-632,-772,16472
9754983,27.99,40.03,-644,-708,16496
9755985,28.0,40.13,-648,-772,16472
9756986,28.01,40.13,-664,-812,16452
9757987,27.97,39.91,-616,-796,16540
9758989,28.01,40.19,-668,-764,16420
9759990,28.02,40.22,-628,-756,16364
9760992,28.02,40.2,-672,-680,16508
9761993,28.0,40.11,-604,-740,16464
9762995,27.99,39.81,-692,-776,16604
9763996,27.99,39.65,-608,-772,16464
9765141,28.01,39.64,-624,-732,16572
9766142,27.99,39.5,-616,-828,16472
9767144,27.99,39.33,-664,-752,16556
9768145,27.99,39.24,-624,-760,16436
9769147,27.96,39.09,-640,-768,16420
9770148,27.97,38.96,-656,-740,16304
9771149,27.97,38.86,-608,-784,16448
9772151,27.96,38.71,-600,-752,16520
9773152,27.95,38.6,-664,-748,16480
9774153,27.94,38.51,-636,-816,16440
9775155,27.94,38.47,-596,-812,16400
9776156,27.94,38.39,-648,-740,16480
9777157,27.97,38.32,-588,-808,16512
9778159,27.94,38.29,-676,-760,16456
9779160,27.95,38.21,-604,-816,16532
9780161,27.94,38.16,-660,-772,16532
